candidate_id,cite_key,entry_type,key_author,authors,author_kinds,title,year,venue_field,venue,doi,url
C0034,PolyphonyDigital2017GranTurismo,misc,PolyphonyDigital,Polyphony Digital Inc.,corporate,Gran Turismo Sport,2017,howpublished,PlayStation 4,,https://www.gran-turismo.com/us/products/gtsport/
C0035,PolyphonyDigital2022GranTurismo,misc,PolyphonyDigital,Polyphony Digital Inc.,corporate,Gran Turismo 7,2022,howpublished,Sony Interactive Entertainment,,https://www.gran-turismo.com/us/products/gt7/
C0011,Prasetya2016SearchBased,article,Prasetya,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,personal;personal,Search-based Procedural Content Generation for Race Tracks in Video Games,2016,journal,International Journal on Electrical Engineering and Informatics,10.15676/ijeei.2016.8.4.6,
C0193,QGroundControlNodatePlanFile,misc,QGroundControl,QGroundControl contributors,corporate,Plan File Format,,howpublished,QGroundControl Developer Guide,,https://docs.qgroundcontrol.com/master/en/qgc-dev-guide/file_formats/plan.html
C0167,Raj2026RobotSquid,misc,Raj,Amir Hossain Raj; Dibyendu Das; Xuesu Xiao,personal;personal;personal,Robot Squid Game: Quadrupedal Locomotion for Traversing Narrow Tunnels,2026,howpublished,arXiv preprint,10.48550/arxiv.2605.13665,https://arxiv.org/abs/2605.13665
C0023,Riccio2020ModelBased,inproceedings,Riccio,Vincenzo Riccio;Paolo Tonella,personal;personal,Model-based exploration of the frontier of behaviours for deep learning system testing,2020,booktitle,Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3409730,
C0063,Richard2026TrackGen,misc,Richard,Antoine Richard,personal,TrackGen,2026,howpublished,GitHub repository,,https://github.com/AntoineRichard/TrackGen
C0207,RoboNation2021VRXCompetition,misc,RoboNation,RoboNation; Open Robotics,corporate;corporate,VRX Competition Technical Guide: Virtual RobotX 2022 Competition,2021,howpublished,Virtual RobotX 2022 competition documentation,,https://robonation.org/app/uploads/sites/2/2021/11/VRX2022_Technical-Guide_v1.1.pdf
C0168,RoboNation20222022Maritime,misc,RoboNation,RoboNation,corporate,2022 Maritime RobotX Challenge Team Handbook,2022,howpublished,Maritime RobotX Challenge official documentation,,https://robonation.org/app/uploads/sites/2/2022/10/2022-RobotX_Team-Handbook_v3.0.pdf
C0209,RoboNation2023VRX2023,misc,RoboNation,RoboNation,corporate,VRX 2023 Task Descriptions,2023,howpublished,Virtual RobotX 2023 Competition,,https://robonation.org/app/uploads/sites/2/2023/07/VRX2023_Task-Descriptions_v1.2.pdf
C0198,RoboNation2026RoboBoat2026,misc,RoboNation,RoboNation,corporate,RoboBoat 2026 | Team Handbook,2026,howpublished,RoboBoat official handbook,,https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf
C0200,RoboNation2026RobotX2026,misc,RoboNation,"RoboNation, Inc.; U.S. Office of Naval Research",corporate; corporate,RobotX 2026 | Team Handbook,2026,howpublished,Maritime RobotX Challenge,,https://robonation.org/app/uploads/sites/2/2026/06/RobotX-2026_Team-Handbook-20260625.pdf
C0202,Rowe2025ScenarioDreamer,inproceedings,Rowe,Luke Rowe; Roger Girgis; Anthony Gosselin; Liam Paull; Christopher Pal; Felix Heide,personal;personal;personal;personal;personal;personal,Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments,2025,booktitle,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,10.1109/cvpr52734.2025.01604,https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html
C0190,Rudin2022LearningWalk,inproceedings,Rudin,Nikita Rudin; David Hoeller; Philipp Reist; Marco Hutter,personal;personal;personal;personal,Learning to Walk in Minutes Using Massively Parallel Deep Reinforcement Learning,2022,booktitle,Proceedings of the 5th Conference on Robot Learning,,https://proceedings.mlr.press/v164/rudin22a.html
C0201,SailBot2022SailBot2022,misc,SailBot,SailBot Organizing Committee,corporate,SailBot 2022 Events,2022,howpublished,SailBot official competition event specification,,https://www.sailbot.org/wp-content/uploads/2022/05/SailBot-2022-Events.pdf
C0079,Schwarting2021DeepLatent,inproceedings,Schwarting,Wilko Schwarting;Tim Seyde;Igor Gilitschenski;Lucas Liebenwein;Ryan Sander;Sertac Karaman;Daniela Rus,personal;personal;personal;personal;personal;personal;personal,Deep Latent Competition: Learning to Race Using Visual Control Policies in Latent Space,2021,booktitle,Proceedings of the 2020 Conference on Robot Learning,,https://proceedings.mlr.press/v155/schwarting21a.html
C0026,Song2021AutonomousDrone,inproceedings,Song,Yunlong Song; Mats Steinweg; Elia Kaufmann; Davide Scaramuzza,personal;personal;personal;personal,Autonomous Drone Racing with Deep Reinforcement Learning,2021,booktitle,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros51168.2021.9636053,
C0183,Song2021FlightmareFlexible,inproceedings,Song,Yunlong Song; Selim Naji; Elia Kaufmann; Antonio Loquercio; Davide Scaramuzza,personal; personal; personal; personal; personal,Flightmare: A Flexible Quadrotor Simulator,2021,booktitle,Proceedings of the 2020 Conference on Robot Learning,,https://proceedings.mlr.press/v155/song21a.html
C0077,Song2023ReachingLimit,article,Song,Yunlong Song; Angel Romero; Matthias Müller; Vladlen Koltun; Davide Scaramuzza,personal; personal; personal; personal; personal,Reaching the Limit in Autonomous Racing: Optimal Control versus Reinforcement Learning,2023,journal,Science Robotics,10.1126/scirobotics.adg1462,
C0118,Sotiropoulos2016VirtualWorlds,inproceedings,Sotiropoulos,Thierry Sotiropoulos; Jérémie Guiochet; Félix Ingrand; Hélène Waeselynck,personal;personal;personal;personal,Virtual Worlds for Testing Robot Navigation: A Study on the Difficulty Level,2016,booktitle,2016 12th European Dependable Computing Conference (EDCC),10.1109/edcc.2016.14,
C0002,SpeedDreamsNodateSpeedDreams,misc,SpeedDreams,Speed Dreams Development Team,corporate,Speed Dreams,,howpublished,Speed Dreams project,,https://forge.a-lec.org/speed-dreams/speed-dreams-code
C0144,Starace2022GenRLSBST,inproceedings,Starace,Luigi Libero Lucio Starace; Andrea Romdhana; Sergio Di Martino,personal;personal;personal,GenRL at the SBST 2022 Tool Competition,2022,booktitle,Proceedings of the 15th Workshop on Search-Based Software Testing,10.1145/3526072.3527533,
C0122,Steininger2025AutomaticallyGenerating,inproceedings,Steininger,Benedikt Steininger; Chrysanthi Papamichail; David Stark; Dejan Nickovic; Alessio Gambi,personal;personal;personal;personal;personal,Automatically Generating Content for Testing Autonomous Vehicles from User Descriptions,2025,booktitle,2025 IEEE/ACM 47th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),10.1109/icse-nier66352.2025.00021,https://ieeexplore.ieee.org/document/11023959/
C0158,Sun2024DriveSceneGenGenerating,article,Sun,Shuo Sun; Zekai Gu; Tianchen Sun; Jiawei Sun; Chengran Yuan; Yuhang Han; Dongen Li; Marcelo H. Ang Jr.,personal;personal;personal;personal;personal;personal;personal;personal,DriveSceneGen: Generating Diverse and Realistic Driving Scenarios from Scratch,2024,journal,IEEE Robotics and Automation Letters,10.1109/lra.2024.3416792,https://arxiv.org/abs/2309.14685
C0166,Sun2026CurriculumReinforcement,misc,Sun,Fangyu Sun; Fanxing Li; Yu Hu; Linzuo Zhang; Yueqian Liu; Wenxian Yu; Danping Zou,personal;personal;personal;personal;personal;personal;personal,Curriculum Reinforcement Learning for Quadrotor Racing with Random Obstacles,2026,howpublished,arXiv preprint,10.48550/arxiv.2602.24030,https://arxiv.org/abs/2602.24030
C0194,Tai2023PyFlytUAV,misc,Tai,Jun Jet Tai; Jim Wong; Mauro Innocente; Nadjim Horri; James Brusey; Swee King Phang,personal;personal;personal;personal;personal;personal,PyFlyt -- UAV Simulation Environments for Reinforcement Learning Research,2023,howpublished,arXiv,10.48550/arxiv.2304.01305,https://arxiv.org/abs/2304.01305
C0125,Tang2023EvoScenarioIntegrating,inproceedings,Tang,Shuncheng Tang; Zhenya Zhang; Jixiang Zhou; Yuan Zhou; Yan-Fu Li; Yinxing Xue,personal; personal; personal; personal; personal; personal,EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing,2023,booktitle,2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),10.1109/issre59848.2023.00054,
C0036,Theodosis2011GeneratingRacing,inproceedings,Theodosis,Paul A. Theodosis; J. Christian Gerdes,personal;personal,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,2011,booktitle,"ASME 2011 Dynamic Systems and Control Conference and Bath/ASME Symposium on Fluid Power and Motion Control, Volume 2",10.1115/dscc2011-6097,
C0010,Togelius2006MakingRacing,inproceedings,Togelius,Julian Togelius; Renzo De Nardi; Simon M. Lucas,personal;personal;personal,Making Racing Fun Through Player Modeling and Track Evolution,2006,booktitle,Proceedings of the SAB'06 Workshop on Adaptive Approaches for Optimizing Player Satisfaction in Computer and Physical Games,,https://web-archive.southampton.ac.uk/cogprints.org/5221/
C0067,Togelius2007TowardsAutomatic,inproceedings,Togelius,Julian Togelius; Renzo De Nardi; Simon M. Lucas,personal;personal;personal,Towards automatic personalised content creation for racing games,2007,booktitle,2007 IEEE Symposium on Computational Intelligence and Games,10.1109/cig.2007.368106,
C0068,Togelius2011SearchBased,article,Togelius,Julian Togelius; Georgios N. Yannakakis; Kenneth O. Stanley; Cameron Browne,personal;personal;personal;personal,Search-Based Procedural Content Generation: A Taxonomy and Survey,2011,journal,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2148116,
C0001,TORCSNodateTORCSOpen,misc,TORCS,TORCS Project,corporate,TORCS - The Open Racing Car Simulator,,howpublished,SourceForge project,,https://sourceforge.net/projects/torcs/
C0189,TUMFTM2020LapTime,misc,TUMFTM,TUM - Institute of Automotive Technology,corporate,TUMFTM/laptime-simulation,2020,howpublished,GitHub repository,,https://github.com/TUMFTM/laptime-simulation
C0195,TUMFTM2020RaceTrack,misc,TUMFTM,TUMFTM contributors,corporate,Race Track Database,2020,howpublished,GitHub repository,,https://github.com/TUMFTM/racetrack-database
C0015,UNECE2021UNRegulation,misc,UNECE,United Nations Economic Commission for Europe,corporate,UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS),2021,howpublished,United Nations Regulation No. 157,,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks
C0048,UnityTechnologiesNodateUnity,misc,UnityTechnologies,Unity Technologies,corporate,Unity,,howpublished,Unity User Manual,,https://docs.unity3d.com/Manual/UnityManual.html
C0032,Vasco2024SuperHuman,article,Vasco,Miguel Vasco; Takuma Seno; Kenta Kawamoto; Kaushik Subramanian; Peter R. Wurman; Peter Stone,personal;personal;personal;personal;personal;personal,A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo,2024,journal,Reinforcement Learning Journal,,https://rlj.cs.umass.edu/2024/papers/Paper213.html
C0164,Wan2025GenTeGenerative,misc,Wan,Hanwen Wan; Mengkang Li; Donghao Wu; Yebin Zhong; Yixuan Deng; Zhenglong Sun; Xiaoqiang Ji,personal;personal;personal;personal;personal;personal;personal,GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control,2025,howpublished,arXiv,10.48550/arxiv.2504.09997,https://arxiv.org/abs/2504.09997
C0114,Wang2014RacingTracks,inproceedings,Wang,Jiao Jian Wang; Olana Missura,personal; personal,Racing tracks improvisation,2014,booktitle,2014 IEEE Conference on Computational Intelligence and Games,10.1109/cig.2014.6932899,
C0154,Wang2019POETOpen,inproceedings,Wang,Rui Wang; Joel Lehman; Jeff Clune; Kenneth O. Stanley,personal;personal;personal;personal,POET: Open-Ended Coevolution of Environments and their Optimized Solutions,2019,booktitle,The Genetic and Evolutionary Computation Conference (GECCO 2019),10.1145/3321707.3321799,
C0177,Wang2020EnhancedPOET,inproceedings,Wang,Rui Wang; Joel Lehman; Aditya Rawal; Jiale Zhi; Yulun Li; Jeffrey Clune; Kenneth Stanley,personal;personal;personal;personal;personal;personal;personal,Enhanced POET: Open-ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions,2020,booktitle,Proceedings of the 37th International Conference on Machine Learning,,https://proceedings.mlr.press/v119/wang20l.html
C0121,Wang2025EnvironmentPolicy,inproceedings,Wang,Hongze Wang; Jiaxu Xing; Nico Messikommer; Davide Scaramuzza,personal; personal; personal; personal,Environment as Policy: Learning to Race in Unseen Tracks,2025,booktitle,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127376,
C0099,Weiss2017PositionBased,inproceedings,Weiss,Tomer Weiss; Alan Litteneker; Chenfanfu Jiang; Demetri Terzopoulos,personal;personal;personal;personal,Position-Based Multi-Agent Dynamics for Real-Time Crowd Simulation,2017,booktitle,Proceedings of the Tenth International Conference on Motion in Games,10.1145/3136457.3136462,
C0087,Wischnewski2022IndyAutonomous,inproceedings,Wischnewski,Alexander Wischnewski; Maximilian Geisslinger; Johannes Betz; Tobias Betz; Felix Fent; Alexander Heilmeier; Leonhard Hermansdorfer; Thomas Herrmann; Sebastian Huch; Phillip Karle; Felix Nobis; Levent Ögretmen; Matthias Rowold; Florian Sauerbeck; Tim Stahl; Rainer Trauth; Markus Lienkamp; Boris Lohmann,personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal,Indy Autonomous Challenge - Autonomous Race Cars at the Handling Limits,2022,booktitle,12th International Munich Chassis Symposium 2021,10.1007/978-3-662-64550-5_10,
C0211,WRSCIRSCOrganizingCommittee2019WorldRobotic,misc,WRSC IRSC Organizing Committee,WRSC/IRSC 2019 Organizing Committee,corporate,World Robotic Sailing Championship 2019 Notice of Race and Competition Rules,2019,howpublished,World Robotic Sailing Championship official rules,,https://www.roboticsailing.org/2019/rules/
C0029,Wurman2022OutracingChampion,article,Wurman,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal,Outracing champion Gran Turismo drivers with deep reinforcement learning,2022,journal,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7
C0129,Xu2024OmniDronesEfficient,article,Xu,Botian Xu; Feng Gao; Chao Yu; Ruize Zhang; Yi Wu; Yu Wang,personal;personal;personal;personal;personal;personal,OmniDrones: An Efficient and Flexible Platform for Reinforcement Learning in Drone Control,2024,journal,IEEE Robotics and Automation Letters,10.1109/lra.2024.3356168,https://arxiv.org/abs/2309.12825
C0092,Xue2024LearningModel,inproceedings,Xue,Haoru Xue;Edward L. Zhu;John M. Dolan;Francesco Borrelli,personal;personal;personal;personal,Learning Model Predictive Control with Error Dynamics Regression for Autonomous Racing,2024,booktitle,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611628,
C0163,Yang2024RoadGenGenerating,misc,Yang,Fan Yang; You Lu; Bihuan Chen; Peng Qin; Xin Peng,personal;personal;personal;personal;personal,RoadGen: Generating Road Scenarios for Autonomous Vehicle Testing,2024,howpublished,arXiv,10.48550/arxiv.2411.19577,https://arxiv.org/abs/2411.19577
C0069,Yannakakis2011ExperienceDriven,article,Yannakakis,Georgios N. Yannakakis; Julian Togelius,personal;personal,Experience-Driven Procedural Content Generation,2011,journal,IEEE Transactions on Affective Computing,10.1109/t-affc.2011.6,
C0057,Yu2021RepulsiveCurves,article,Yu,Chris Yu; Henrik Schumacher; Keenan Crane,personal;personal;personal,Repulsive Curves,2021,journal,ACM Transactions on Graphics,10.1145/3439429,
C0120,Yu2023AvoidBenchHigh,inproceedings,Yu,Hang Yu; Guido C. H. E. de Croon; Christophe De Wagter,personal;personal;personal,AvoidBench: A high-fidelity vision-based obstacle avoidance benchmarking suite for multi-rotors,2023,booktitle,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10161097,https://arxiv.org/abs/2301.07430
C0165,Yu2025MasteringDiverse,article,Yu,Feng Yu; Yang Su; Yu Hu; Yang Deng; Linzuo Zhang; Danping Zou,personal;personal;personal;personal;personal;personal,"Mastering Diverse, Unknown, and Cluttered Tracks for Robust Vision-Based Drone Racing",2026,journal,IEEE Robotics and Automation Letters,10.1109/lra.2025.3643267,
C0130,Yu2025MAVRLLearn,article,Yu,Hang Yu; Christophe De Wagter; Guido C. H. E. de Croon,personal;personal;personal,MAVRL: Learn to Fly in Cluttered Environments With Varying Speed,2025,journal,IEEE Robotics and Automation Letters,10.1109/lra.2024.3522778,
C0111,Zhang2025LearningVision,article,Zhang,Yuang Zhang; Yu Hu; Yunlong Song; Danping Zou; Weiyao Lin,personal; personal; personal; personal; personal,Learning vision-based agile flight via differentiable physics,2025,journal,Nature Machine Intelligence,10.1038/s42256-025-01048-0,https://www.nature.com/articles/s42256-025-01048-0
C0106,Zhang2025VoyagePlanning,article,Zhang,Chengqian Zhang; Chi Zhang; Fabian Thies; Wengang Mao; Jonas W. Ringsberg,personal;personal;personal;personal;personal,A voyage planning framework for energy performance analysis of autonomous inland waterway vessels,2025,journal,Energy,10.1016/j.energy.2025.137906,https://www.sciencedirect.com/science/article/pii/S0360544225035480
C0160,Zhao2024LearningSpeed,article,Zhao,Guangyu Zhao; Tianyue Wu; Yeke Chen; Fei Gao,personal;personal;personal;personal,Learning Speed Adaptation for Flight in Clutter,2024,journal,IEEE Robotics and Automation Letters,10.1109/lra.2024.3421789,
C0155,Zhou2022OpenEnded,misc,Zhou,Fangqin Zhou; Joaquin Vanschoren,personal; personal,Open-Ended Learning Strategies for Learning Complex Locomotion Skills,2022,howpublished,arXiv,10.48550/arxiv.2206.06796,https://arxiv.org/abs/2206.06796
C0156,Zhou2023FLYOVERModel,misc,Zhou,Yuan Zhou; Gengjie Lin; Yun Tang; Kairui Yang; Wei Jing; Ping Zhang; Junbo Chen; Liang Gong; Yang Liu,personal;personal;personal;personal;personal;personal;personal;personal;personal,FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing,2023,howpublished,arXiv,10.48550/arxiv.2301.12738,https://arxiv.org/abs/2301.12738
C0162,Zhou2024DiffRoadRealistic,misc,Zhou,Junjie Zhou; Lin Wang; Qiang Meng; Xiaofan Wang,personal; personal; personal; personal,DiffRoad: Realistic and Diverse Road Scenario Generation for Autonomous Vehicle Testing,2024,howpublished,arXiv,10.48550/arxiv.2411.09451,https://arxiv.org/abs/2411.09451
C0148,Zhu2026ComplexityControllable,article,Zhu,Yu Zhu; Jiaxin Wang; Shaoxin Yuan; Zhigang Xu; Xiaobo Qu,personal;personal;personal;personal;personal,Complexity controllable road network generation for virtual testing of autonomous driving,2026,journal,Communications in Transportation Research,10.26599/commtr.2026.9640024,
C0199,Zhuang2023RobotParkour,inproceedings,Zhuang,Ziwen Zhuang; Zipeng Fu; Jianren Wang; Christopher G. Atkeson; Sören Schwertfeger; Chelsea Finn; Hang Zhao,personal;personal;personal;personal;personal;personal;personal,Robot Parkour Learning,2023,booktitle,Proceedings of The 7th Conference on Robot Learning,,https://proceedings.mlr.press/v229/zhuang23a.html
C0142,Zohdinasab2021DeepHyperionExploring,inproceedings,Zohdinasab,Tahereh Zohdinasab; Vincenzo Riccio; Alessio Gambi; Paolo Tonella,personal;personal;personal;personal,DeepHyperion: Exploring the Feature Space of Deep Learning-Based Systems through Illumination Search,2021,booktitle,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3460319.3464811,
