assignment_id,phase,candidate_id,input_sha256,snapshot_sha256,batch_id,coder_id,screened_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,notes
A-C0007-04,main,C0007,653a075d4d03fcce47d0dcef690e09bcf89ab6e2620be89eda3e7dfc01b0baae,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.asam.net/standards/detail/opendrive/,unversioned@2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0007,The C0007 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0012-04,main,C0012,f2d916679807edb81c1cf1f7b5cf9822595a3e8926454f15a380bf4d074db277,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.4018/ijamc.350330,DOI-10.4018-ijamc.350330,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0012,The C0012 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0013-04,main,C0013,94548e2a00a0b0f023696203e8a62dd7ccb446a768f218af5918008b5facb7e1,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,SBGames 2021 proceedings,2026-07-06,NR,d168baea43c3fc567c71cf0036eeecb85c0fc90f4fee3678f4adc8125b5d00ed,PDF p. 1; Abstract; PDF p. 1; Section I Introduction,NR,Adjacent-domain mapping: the chain-code circuit coordinate sequence maps to a robot-course centerline with boundary geometry.
A-C0014-04,main,C0014,55f4950e8708f51fdeda194464214025f1fa3249ead2b0c3598ca89158312a9c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://arxiv.org/pdf/2103.01288,arXiv:2103.01288v1,2026-07-06,NR,c1eb38f0251917c99e5a9081239dc2863789c98a32ff68ada04d0e677ce79d66,PDF p. 1; Abstract; PDF p. 1; Section 2 Method Overview,NR,Adjacent-domain mapping: the Bezier control-point road geometry and validity checks map to parameterized robot-course corridors.
A-C0018-04,main,C0018,ef5a21936d1f3b2634a8a3611c1c9de32eb7c9cde1ff314c5fce8cd3373de535,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://proceedings.mlr.press/v202/azad23a/azad23a.pdf,PMLR-v202-2023,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0018,The C0018 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0020-04,main,C0020,aadd7562fb19f969deefbec656615fd7ddaa18dea14160b34214c082626fd2c6,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://proceedings.neurips.cc/paper_files/paper/2020/file/985e9a46e10005356bbaf194249f6856-Paper.pdf,NeurIPS 2020 proceedings,2026-07-06,NR,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e,PDF p. 2; Section 1 Introduction; PDF p. 4; Section 3 Unsupervised Environment Design,NR,"Adjacent-domain mapping: PAIRED parameterizes navigation obstacle layouts and goals, which maps to parameterized robot-course layouts without changing the method."
A-C0024-04,main,C0024,6fcb1d3f49e349a3554b24dd860f77be689e5425f187328398d9e0cbfc526131,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://arxiv.org/abs/2401.14682,arXiv:2401.14682v1,2026-07-06,NR,c7602a67fca9bbe3f8f555847aeab907871484d2343e08f662113a8e95d70015,PDF p. 1; Abstract; PDF p. 2; Section 3.3 Genetic Algorithm,NR,NR
A-C0027-04,main,C0027,4794216b3ad9e41b6d6bdc2e452b71d3c122e5b8c5839ba4af9d34f4a43d975e,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/pdf/2411.04246,arXiv-2411.04246@2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0027,The C0027 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0029-04,main,C0029,04a7d999e2d3de9802d683ca45611a74e737899ab3484d46b783d2c929777c58,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1038/s41586-021-04357-7,DOI-10.1038-s41586-021-04357-7,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0029,The C0029 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0036-04,main,C0036,ab75449d53b5d05e4ebf1d13eae130d1439a5a70b57e1e23740db7d62a9b5e4c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1115/DSCC2011-6097,DOI-10.1115-DSCC2011-6097,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0036,The C0036 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0038-04,main,C0038,323b38ef6efa3ca395f319ee5672f29db32c448d1a20d48175eff51d99e48f00,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1080/00423114.2019.1631455,DOI-10.1080-00423114.2019.1631455,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0038,The C0038 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0039-04,main,C0039,c35f5e7233b83bdbdbc684fb9bea98ad46262af2a0411f759f7b5c2ef2bc44e6,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.4271/2002-01-3339,DOI-10.4271-2002-01-3339,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0039,The C0039 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0047-04,main,C0047,b65a48696192905ad251a8cfc7cd5b6f8024a73c111b145e8bf51b77560858ab,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,official_documentation,https://github.com/ChickenKorma/Track-Generator,commit 8cf5fe26df607dcd5796e799eb219a3462d61431 (default branch main),2026-07-06,https://codeload.github.com/ChickenKorma/Track-Generator/tar.gz/8cf5fe26df607dcd5796e799eb219a3462d61431,c83195500a9608a2148c92ab3c5176c507db8676b3120fba5a5213d8bee0b496,repository path README.md; Section Generation > Points; repository path README.md; Section Generation > Track Mesh,NR,"Adjacent-domain mapping: the source generates a closed race-track point loop and mesh, which maps to a robot-course centerline and corridor geometry."
A-C0052-04,main,C0052,162274daa192dc64149cfeceb10f2f100ec92df244a8c659d7e95c8a3126998f,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://people.eecs.berkeley.edu/~sequin/CS285/PAPERS/Parish_Muller01.pdf,SIGGRAPH 2001 paper,2026-07-06,NR,43108a9ebd3ebe9ae2947fe5aeda11834efe973fdc32fcced55e044f98a15dc7,PDF p. 1; Abstract; PDF p. 2; Section 2 System Architecture; PDF p. 3; Section 3 Creating the Street Map,NR,Adjacent-domain mapping: the L-system road graph and segment constraints map to connected robot-course road corridors.
A-C0056-04,main,C0056,f158305a6e3f7515ca6e060f23e5d221862f78b6f7f9bd98995359382924e619,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://link.springer.com/article/10.1007/s00222-002-0234-y,publisher record checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0056,The C0056 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0058-04,main,C0058,c6152a74e070cd716162a4660a39b6ac8bf5b5fe05df6d9383a15104697e4ecc,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://ieeexplore.ieee.org/document/10965488/,publisher record checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0058,The C0058 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0060-04,main,C0060,a19d8413d12ad77aaa924c7abe50b2a915f5009ac8979fb1fdc84bacd795edac,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://matthias-research.github.io/pages/publications/posBasedDyn.pdf,author PDF checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0060,The C0060 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0067-04,main,C0067,21aa645980f3f67d1af56d1b01840dea5cc01ae483a2a3792d8daa58db6dde59,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://ieeexplore.ieee.org/document/4219051/,publisher record checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0067,The C0067 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0069-04,main,C0069,4e5318db205969039473bbf5a79db13ac973686173ab4ff18ce150d1ae536586,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,included,include-relevant,full_text,https://yannakakis.net/wp-content/uploads/2015/11/PID3821875.pdf,IEEE CIG invited-paper extended abstract (2011),2026-07-06,NR,e83cab4249994972e08756f313d6218f0a9dc4ff021174a312a98feb0c88732a,PDF p. 2; Section II The EDPCG Framework; PDF p. 5; Section II.C Content Representation,NR,"Adjacent-domain mapping: the framework specifies representations and generators for spatial game levels, which maps to parameterized robot-course layouts."
A-C0073-04,main,C0073,a39c55a6670c95ae63c5e4e3c6e2f7b71e88bebde12e3c9fade3fb0c3e8e8714,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-out-of-scope,full_text,https://proceedings.mlr.press/v87/kaufmann18a/kaufmann18a.pdf,PMLR volume 87 (CoRL 2018),2026-07-06,NR,9be82e11d0c3d2ee4c9d1cb745a62c27131f4e804fd73a12f192d2d2a203d48d,PDF p. 1; Abstract; PDF p. 2; Section 1 Introduction,"The report develops perception, trajectory generation, and control for traversal of a supplied drone-racing track; it supplies no course-generation method or retained course representation or interface.",NR
A-C0085-04,main,C0085,fd4536fe56093f4509ed2b942f54447d3d212f4a5855c19297ead07d379dddfd,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/1711.07300,arXiv:1711.07300 checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0085,The C0085 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0087-04,main,C0087,435d4a88445f91e391b451cb92fb1b21c311e6436f26a544c5e28a7c0a6e0904,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/2202.03807,arXiv:2202.03807 checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0087,The C0087 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0091-04,main,C0091,da87b4861aac8f4a7787d280e9ca5165a9d59265c4f32db3ab6acf7a10747f98,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.airacingtech.com/about-us,official team site checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0091,The C0091 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0092-04,main,C0092,d0d4e1d3ceb080ca4dd67f12216d69813e9eebc304ba87cfa812e5dc7b89dec5,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/2309.10716,arXiv:2309.10716 checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0092,The C0092 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0093-04,main,C0093,9382c493b51a4e7e0b40f65f7c9eed60d8863587ea15502315d3d64d2fb582c5,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/2303.02267,arXiv:2303.02267 checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0093,The C0093 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0096-04,main,C0096,71580b3ca6fb23cbd19c06bcd563cbf13673fa58b701ba69bde36b6f71441647,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/2202.07008,arXiv:2202.07008 checked 2026-07-03,2026-07-06,NR,NR,Section metadata-only retrieval audit; evidence_packet_manifest.csv row C0096,The C0096 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.,Full text was unavailable in the frozen packet; only the metadata retrieval audit was inspected.
A-C0098-04,main,C0098,e3f0657df14bf1555b173f7982ef6a4ff60618c4e335f2d56f5db0ac9cfeb19d,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-06,excluded,exclude-out-of-scope,official_documentation,https://www.openstreetmap.org/about,OpenStreetMap About page snapshot 2026-07-06,2026-07-06,https://www.openstreetmap.org/about,b40a85c003a30a0e2c0904cb2b03e6cfd9ad74af988f22b12a24e96d139a460f,HTML; Section About,"The staged About-page snapshot identifies navigation links but provides no dataset schema, route or road generation, or retained simulator or benchmark property.",NR
