candidate_id,input_sha256,snapshot_sha256,primary_snapshot_sha256,assignment_ids,adjudicator_id,reviewer_ids,decided_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,resolution_evidence,resolved_conflict_ids,notes
C0056,119d103262b8a49678c08a4ce448423ab951fed69389e7c612071abc96aa4214,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0056-02;A-C0056-04,adjudication-draft-02,screening-02;screening-04,2026-07-01,excluded,exclude-out-of-scope,full_text,https://arxiv.org/pdf/math/0103224v3,arXiv:math/0103224v3,2026-07-01,NR,edec2d3d3912d913d9e95ec911cd485cf57e9749ff4dee001febe7c6ac6f9c10,Abstract; Section 2 Thickness and Ropelength; Theorem 1,"The report proves mathematical results about knot and link ropelength and does not provide a route, course, level, test-input generator, or course-specific feasibility contribution.","{""comparison_analysis"":""For C0056, the candidate titled \""On the minimum ropelength of knots and links\"" is assessed from the selected direct source. The report proves mathematical results about knot and link ropelength and does not provide a route, course, level, test-input generator, or course-specific feasibility contribution. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words about and bounds for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The report proves mathematical results about knot and link ropelength and does not provide a route, course, level, test-input generator, or course-specific feasibility contribution.""},""deciding_locator"":""Abstract; Section 2 Thickness and Ropelength; Theorem 1"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0056-02"",""reason"":""The report proves mathematical results about knot and link ropelength and does not provide a route, course, level, test-input generator, or course-specific feasibility contribution.""},{""assignment_id"":""A-C0056-04"",""reason"":""The report proves geometric bounds and regularity for mathematical knots and links; it does not generate, represent, or evaluate navigable robot courses.""}],""raw_ratings"":[{""assignment_id"":""A-C0056-02"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0056-04"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://arxiv.org/pdf/math/0103224v3""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification.
C0057,2ce6d5d705217de874a44e61e6468cc9a8a279627d42fd565bfed45c012e2d01,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0057-01;A-C0057-02,adjudication-draft-02,screening-01;screening-02,2026-07-01,included,include-1,full_text,https://arxiv.org/pdf/2006.07859v1,arXiv:2006.07859v1,2026-07-01,NR,5e6afce7166f1ed1f5c3864b8b7d69e0ed1afdaa422ff1abc89c5332c69b84c6,Abstract; Section 3 Repulsive Curves; Section 4 Optimization,NR,"{""comparison_analysis"":""For C0057, the candidate titled \""Repulsive Curves\"" is assessed from the selected direct source. Sections 3 and 4 describe an implemented repulsive-curve optimizer with self-intersection avoidance and identify robotic path planning as an application. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The raw statuses are excluded versus included. The raw criteria are exclude-out-of-scope versus include-1. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A1"",""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""Sections 3 and 4 describe an implemented repulsive-curve optimizer with self-intersection avoidance and identify robotic path planning as an application.""},""deciding_locator"":""Abstract; Section 3 Repulsive Curves; Section 4 Optimization"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0057-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0057-02"",""criterion"":""include-1"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://arxiv.org/pdf/2006.07859v1""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification.
C0058,44754f91984afb226b98c600c733e71d55bb97264e2b83daacd3ba264990b301,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0058-03;A-C0058-04,adjudication-draft-02,screening-03;screening-04,2026-07-01,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1109/tg.2025.3561107;https://www.semanticscholar.org/paper/3f14835119333af2313791ddd4e4265e661a6353,version-of-record@2025,2026-07-01,NR,NR,"Semantic Scholar record, abstract paragraph beginning 'Procedural content generation is a useful tool'; IEEE DOI record, registered full-text endpoint","The abstract mentions a repulsive-curve race-track generator, but no complete report or authoritative implementation was accessible to inspect the representation, constraints, or algorithms as material evidence.","{""comparison_analysis"":""For C0058, the candidate titled \""From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves\"" is assessed from the selected direct source. The abstract mentions a repulsive-curve race-track generator, but no complete report or authoritative implementation was accessible to inspect the representation, constraints, or algorithms as material evidence. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words accessible and describes for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The abstract mentions a repulsive-curve race-track generator, but no complete report or authoritative implementation was accessible to inspect the representation, constraints, or algorithms as material evidence.""},""deciding_locator"":""Semantic Scholar record, abstract paragraph beginning 'Procedural content generation is a useful tool'; IEEE DOI record, registered full-text endpoint"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0058-03"",""reason"":""The abstract mentions a repulsive-curve race-track generator, but no complete report or authoritative implementation was accessible to inspect the representation, constraints, or algorithms as material evidence.""},{""assignment_id"":""A-C0058-04"",""reason"":""The abstract describes a repulsive-curve race-track generator, but no complete report or authoritative implementation was retrievable for material-evidence inspection.""}],""raw_ratings"":[{""assignment_id"":""A-C0058-03"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0058-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://doi.org/10.1109/tg.2025.3561107""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification. Access limitation: full text or authoritative companion remains unavailable after documented retrieval.
C0059,395a18f811ce62debe631542b13c2215d1dc6115b9679fa9b6931cd4c61e5966,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0059-01;A-C0059-03,adjudication-draft-02,screening-01;screening-03,2026-07-01,excluded,exclude-out-of-scope,full_text,https://arxiv.org/abs/2203.16383;https://arxiv.org/pdf/2203.16383v1,arXiv:2203.16383v1,2026-07-01,https://arxiv.org/pdf/2203.16383v1,120134d2c977055331f834d5a4027b54e44d5f7ee87c50f2c77647b11443435d,pages 1-3 Abstract and Section 1; Sections 3-4 on discrete tangent-point energies and biarc curves,"The report studies Gamma-convergence of knot energies on biarc curves and has no navigable-course generation, representation, benchmark, or survey-gap contribution.","{""comparison_analysis"":""For C0059, the candidate titled \""Tangent-point energies and ropelength as Gamma-limits of discrete tangent-point energies on biarc curves\"" is assessed from the selected direct source. The report studies Gamma-convergence of knot energies on biarc curves and has no navigable-course generation, representation, benchmark, or survey-gap contribution. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words contribution and application for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The report studies Gamma-convergence of knot energies on biarc curves and has no navigable-course generation, representation, benchmark, or survey-gap contribution.""},""deciding_locator"":""pages 1-3 Abstract and Section 1; Sections 3-4 on discrete tangent-point energies and biarc curves"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0059-01"",""reason"":""The report studies Gamma-convergence of knot energies on biarc curves and has no navigable-course generation, representation, benchmark, or survey-gap contribution.""},{""assignment_id"":""A-C0059-03"",""reason"":""The report proves mathematical convergence results for energies of closed biarc curves and contains no course generator, course representation, benchmark, feasibility test, or racing application.""}],""raw_ratings"":[{""assignment_id"":""A-C0059-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0059-03"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://arxiv.org/abs/2203.16383""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification.
C0060,61f56e281ef81d232a214e95632ec86d8c147fc8464dfa87dd60fe3581955736,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0060-01;A-C0060-04,adjudication-draft-02,screening-01;screening-04,2026-07-01,excluded,exclude-out-of-scope,full_text,https://doi.org/10.1016/j.jvcir.2007.01.005;https://matthias-research.github.io/pages/publications/posBasedDyn.pdf,author manuscript for DOI:10.1016/j.jvcir.2007.01.005,2026-07-01,NR,8823d1b0549e84c56e0c3cbbf5db3cd00dbd59858835f4d012b64604aac2f4b0,pages 1-2 Abstract and Sections 1-3,"The report presents a general position-based simulation method for dynamic objects and does not address course geometry, course interchange, or course benchmarking.","{""comparison_analysis"":""For C0060, the candidate titled \""Position Based Dynamics\"" is assessed from the selected direct source. The report presents a general position-based simulation method for dynamic objects and does not address course geometry, course interchange, or course benchmarking. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words address and author for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The report presents a general position-based simulation method for dynamic objects and does not address course geometry, course interchange, or course benchmarking.""},""deciding_locator"":""pages 1-2 Abstract and Sections 1-3"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0060-01"",""reason"":""The report presents a general position-based simulation method for dynamic objects and does not address course geometry, course interchange, or course benchmarking.""},{""assignment_id"":""A-C0060-04"",""reason"":""The inspected author manuscript contributes a general constraint solver for cloth, collision, and deformable-body simulation, with no course geometry or course-generation claim.""}],""raw_ratings"":[{""assignment_id"":""A-C0060-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0060-04"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://doi.org/10.1016/j.jvcir.2007.01.005""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification.
C0061,6f3e06bb108f59b868c50ecf28eb1d3a25cd7c6673832e71bbf0a7de75ac9c57,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0061-04;A-C0061-05,adjudication-draft-02,screening-04;screening-05,2026-07-01,excluded,exclude-out-of-scope,full_text,https://matthias-research.github.io/pages/publications/XPBD.pdf,DOI:10.1145/2994258.2994272 proceedings version,2026-07-01,NR,cd96241fe2cce7816c3fa1cb2b9e862e5a610263fd38cc8560bb51b7f6ecd502,Abstract; Section 1 Introduction; Algorithm 1 XPBD simulation loop; Section 6 Results,"The report contributes a compliant position-based dynamics solver for elastic and dissipative constraints, evaluated on oscillators, cloth, and deformable bodies; it does not generate, represent, characterize, or benchmark navigation-course geometry.","{""comparison_analysis"":""For C0061, the candidate titled \""XPBD: Position-Based Simulation of Compliant Constrained Dynamics\"" is assessed from the selected direct source. The report contributes a compliant position-based dynamics solver for elastic and dissipative constraints, evaluated on oscillators, cloth, and deformable bodies; it does not generate, represent, characterize, or benchmark navigation-course geometry. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words based and constraint for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The report contributes a compliant position-based dynamics solver for elastic and dissipative constraints, evaluated on oscillators, cloth, and deformable bodies; it does not generate, represent, characterize, or benchmark navigation-course geometry.""},""deciding_locator"":""Abstract; Section 1 Introduction; Algorithm 1 XPBD simulation loop; Section 6 Results"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0061-04"",""reason"":""The report contributes a compliant position-based dynamics solver for elastic and dissipative constraints, evaluated on oscillators, cloth, and deformable bodies; it does not generate, represent, characterize, or benchmark navigation-course geometry.""},{""assignment_id"":""A-C0061-05"",""reason"":""The report contributes a compliant-constraint solver for deformable-body simulation; it does not generate, represent, characterize, or benchmark spatial courses, routes, roads, or racing environments.""}],""raw_ratings"":[{""assignment_id"":""A-C0061-04"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0061-05"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://matthias-research.github.io/pages/publications/XPBD.pdf""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification.
C0062,3546a228a6fc72451323f5f236d87dad0876e71ce4927e64d0adb6336b6cdd2c,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0062-01;A-C0062-06,adjudication-draft-02,screening-01;screening-06,2026-07-01,excluded,exclude-out-of-scope,abstract_only,https://doi.org/10.1109/lra.2023.3264766;https://openalex.org/W4362653121;https://www.google.com/search?q=%22Robotic%20Manipulation%20of%20Deformable%20Rope-Like%20Objects%20Using%20Differentiable%20Compliant%20Position-Based%20Dynamics%22,DOI:10.1109/LRA.2023.3264766 version-of-record bibliographic record,2026-07-01,NR,24281ca51c80bc8fdc78f71e81fbe08ea2cb0a2d5ef351383ed0f9ab6baff2c3,OpenAlex abstract sentences 1-11 describing differentiable rope physics and manipulation experiments,The work models and controls deformable rope-like objects; it has no material contribution to navigable course generation or representation.,"{""comparison_analysis"":""For C0062, the candidate titled \""Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics\"" is assessed from the selected direct source. The work models and controls deformable rope-like objects; it has no material contribution to navigable course generation or representation. The adjudicator compared the source-specific record with both locked independent ratings, whereas the alternative reading does not satisfy the selected protocol outcome. The independent exclusions retain the distinctive words controls and artifacts for the required comparison. This is an unsealed provisional determination pending accountable-author verification of the deciding locator and interpretation."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The work models and controls deformable rope-like objects; it has no material contribution to navigable course generation or representation.""},""deciding_locator"":""OpenAlex abstract sentences 1-11 describing differentiable rope physics and manipulation experiments"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0062-01"",""reason"":""The work models and controls deformable rope-like objects; it has no material contribution to navigable course generation or representation.""},{""assignment_id"":""A-C0062-06"",""reason"":""The contribution models deformable ropes for manipulation, not navigation courses, racing, or transferable route artifacts.""}],""raw_ratings"":[{""assignment_id"":""A-C0062-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0062-06"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://doi.org/10.1109/lra.2023.3264766""}",NR,Provisional unsealed adjudication draft; pending accountable-author verification. Access limitation: full text or authoritative companion remains unavailable after documented retrieval.
