cite_key,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
ASAM2024ASAMOpenDRIVE,ground,NR,open_corridor,parametric_curve,NR,serialization,NR,NR,NR,NR,NR,NR,NR,OpenDRIVE XML,NR,NR,official specification version 1.8.1,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html Section 9.2 Road reference line Figure 25 Table 18 planView and geometry,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the standard defines representation and gap-free geometry constraints but not a sampling procedure.
Althoff2017CommonRoadComposable,ground,autonomous road vehicle,road_network,NR,NR,serialization; benchmark_only,NR,NR,NR,NR,constructed scenarios; count NR,NR,NR,CommonRoad XML,NR,official benchmark and scenario assets documented,DOI; archived author manuscript,https://doi.org/10.1109/ivs.2017.7995802; https://web.archive.org/web/20180720100708id_/http://mediatum.ub.tum.de/doc/1379638/document.pdf pp. 2 and 5 Portability Section V.A Road Network Figure 4,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: composition is documented but a probability distribution over road geometries is NR.
Brockman2016OpenAIGym,ground,physics-based racing car,closed_track,tile_grid; sampled_centerline,constructive; stochastic_procedural,geometry_synthesis,NR,NR,NR,NR,per-episode randomized track; count NR,NR,Box2D environment,NR,official_open,open official source repository,arXiv record; pinned official Gym commit,https://arxiv.org/abs/1606.01540; https://github.com/openai/gym/commit/c17ac6cc55fda4be60548e2e05b54f22e83e2c1b paper Sections 3-4 and gym/envs/box2d/car_racing.py lines 22-29 and 134-171,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the general API is in the paper and track generation is documented in the authoritative companion implementation.
CARLA2021OpenDRIVEStandalone,ground,simulated road vehicle,road_network,NR,constructive,geometry_synthesis,NR,NR,NR,NR,NR,NR,CARLA,OpenDRIVE; generated road mesh and boundaries,NR,NR,official CARLA 0.9.12 documentation,https://carla.readthedocs.io/en/0.9.12/adv_opendrive/ OpenDRIVE standalone mode Run a standalone map Mesh generation client.generate_opendrive_world(),Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the API generates a world mesh from supplied geometry and does not select or sample the input road network.
Chen2008InteractiveProcedural,adjacent,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://doi.org/10.1145/1360612.1360702 (ACM record title heading),Unsealed evidence draft; limited publisher access supports only title-level street-modeling facts and no method claims.
Jain2020ComputingRacing,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://doi.org/10.1109/cdc42340.2020.9304147; https://ieeexplore.ieee.org/document/9304147/ (IEEE record title heading),Unsealed evidence draft; limited official endpoint access exposed only the title record and no inspectable paper body.
Loquercio2020DeepDrone,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static and 100000 dynamic simulated images; 25000 static and 15000 additional dynamic real images; approximately 10000 appendix-dataset real images,DAgger recovery margin; task completion; lap time; RMSE; randomization ablations,simulation and physical quadrotor,NR,official_open,trained models referenced on the project page,project page source code and trained models,https://rpg.ifi.uzh.ch/docs/TRO19_Loquercio.pdf (Section III-A Training Procedure; Section IV-B/IV-C; Tables I-II; Appendix C),Unsealed evidence draft; visual domain randomization and moving-gate layouts are documented but explicit course-topology checking is not reported.
OpenRoboticsNodateVRXAutomated,maritime,autonomous surface vessel,gate_chain,gate_poses; simulator_native,constructive,geometry_synthesis; serialization,NR,NR,NR,NR,trial set documented; count NR,NR,VRX/Gazebo,YAML task configuration; generated VRX/Gazebo world,official_open,open official repository,pinned official repository source files,https://github.com/osrf/vrx-docker; https://github.com/osrf/vrx-docker/blob/f599871a83ddfef9851e2f9bc95d082baff47bf2/README.md prepare_task_trials.bash lines 3-5 and 32-51 task_config/gymkhana.yaml lines 1-19 and 46-69 and 97-120 and 147-170 README lines 21-29 and 43-53,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: configured trial worlds are generated but a probability distribution over configurations is NR.
RoboNation2026RoboBoat2026,maritime,autonomous surface vessel,gate_chain; buoy_course,gate_poses,NR,benchmark_only,NR,NR,NR,NR,multi-task course set; count NR,traversal and scoring constraints,NR,NR,NR,NR,official RoboBoat 2026 handbook,https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf pp. 45-50 Sections 3.2.1-3.2.3 task-layout figures pp. 58-60 Sections 3.2.7 and 3.4-3.5,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: variable task elements are documented but no procedural course-generation algorithm is specified.
Steininger2025AutomaticallyGenerating,NR,autonomous vehicle,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://ieeexplore.ieee.org/document/11023959/ (IEEE record title heading); https://doi.org/10.1109/ICSE-NIER66352.2025.00021,Unsealed evidence draft; limited official endpoint access supports only title-level autonomous-vehicle-testing facts and no inspectable paper body.
Yannakakis2011ExperienceDriven,ground,car controller,closed_track,parametric_curve,search_evolutionary,geometry_synthesis,simulation_validation,NR,narrow sections; sharp versus gentle turns,NR,NR,simulation with neural controllers; progress; variation in progress; difference between maximum and average speed,simple racing game,NR,NR,NR,NR,https://julian.togelius.com/Yannakakis2011Experiencedriven.pdf (Sections 2; 4.2.1 Example: racing game tracks; and 5),Unsealed evidence draft; the racing example lacks an explicit geometric-validity check and reports no player-data counts or splits.
Yu2021RepulsiveCurves,adjacent,NR,NR,NR,NR,geometry_synthesis,penalty,energy/optimization convergence; timing comparisons,NR,NR,NR,optimization convergence and timing comparisons,NR,NR,NR,NR,NR,https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/RepulsiveCurves.pdf (abstract; Sections 1; 3; and 4),Unsealed evidence draft; this is curve/shape design rather than a simulator course generator; the self-intersection barrier and optional obstacle penalties are directly described.
Yu2025MasteringDiverse,aerial,racing drone,closed_track,NR,NR,geometry_synthesis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DOI; author preprint,https://doi.org/10.1109/LRA.2025.3643267; https://arxiv.org/pdf/2512.09571v2 Section III-C Curriculum Learning for Generalizable Racing Track Primitive Generator Figure 2,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: clutter variation and track primitives are discussed but no released track format is exposed.
