candidate_id,title,source_url,raw_access_status,action,priority,limitation_note
C0003,TrackGen: An interactive track generator for TORCS and Speed-Dreams,https://doi.org/10.1016/j.asoc.2014.11.010,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; DOI/publisher record only.
C0006,Improving the Generalization of End-to-End Driving through Procedural Generation,https://arxiv.org/pdf/2012.13681,full_text,archive-public-full-text,high,Public preprint endpoint; no v8 archived copy.
C0008,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,https://arxiv.org/pdf/2303.17900,full_text,archive-public-full-text,high,Public preprint endpoint; no v8 archived copy.
C0010,Making Racing Fun Through Player Modeling and Track Evolution,https://web-archive.southampton.ac.uk/cogprints.org/5221/,full_text,archive-public-full-text,high,Public institutional-repository record; no v8 archived copy.
C0012,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,https://doi.org/10.4018/ijamc.350330,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; DOI/publisher record only.
C0013,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,full_text,archive-public-full-text,high,Public proceedings PDF; no v8 archived copy.
C0014,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,https://arxiv.org/pdf/2103.01288,full_text,archive-public-full-text,high,Public preprint endpoint; no v8 archived copy.
C0016,Replay-Guided Adversarial Environment Design,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Paper.pdf,full_text,archive-public-full-text,high,Public proceedings PDF; no v8 archived copy.
C0020,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,https://proceedings.neurips.cc/paper_files/paper/2020/file/985e9a46e10005356bbaf194249f6856-Paper.pdf,full_text,archive-public-full-text,high,Public proceedings PDF; no v8 archived copy.
C0021,Evolving Curricula with Regret-Based Environment Design,https://proceedings.mlr.press/v162/parker-holder22a/parker-holder22a.pdf,full_text,archive-public-full-text,high,Public proceedings PDF; no v8 archived copy.
C0022,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,https://doi.org/10.1145/3293882.3330566,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; ACM/DOI record only.
C0024,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,https://doi.org/10.1145/3643659.3643926,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; ACM/DOI record only.
C0036,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,https://doi.org/10.1115/DSCC2011-6097,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; ASME/DOI record only.
C0039,Optimization of the Driving Line on a Race Track,https://doi.org/10.4271/2002-01-3339,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; SAE/DOI record only.
C0041,Time-optimal trajectory planning for a race car considering variable tyre-road friction coefficients,https://doi.org/10.1080/00423114.2019.1704804,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; DOI/publisher record only.
C0043,Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps,https://doi.org/10.1109/tvt.2020.2998065,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; IEEE/DOI record only.
C0044,Optimization-based Path Planning for an Autonomous Vehicle in a Racing Track,https://doi.org/10.1109/iecon.2019.8926856,metadata_only,user-fetch-or-document-limitation,high,No v8 primary report; IEEE/DOI record only.
C0046,MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning,https://arxiv.org/pdf/2109.12674v3,full_text_public_archive_corrupt,replace-corrupt-local,high,Manifest checksum matches but local PDF is malformed and unreadable by pdfinfo/pdftotext.
C0047,ChickenKorma/Track-Generator,https://github.com/ChickenKorma/Track-Generator,official_evidence,archive-official-source,high,Repository is the software's public source; no v8 archived revision.
C0049,Procedural Race Track Generator,https://github.com/Drallig/ProceduralTrack,official_evidence,archive-official-source,high,Repository is the software's public source; no v8 archived revision.
C0050,meraccos/random_car_racing_track_generator,https://github.com/meraccos/random_car_racing_track_generator,official_evidence,archive-official-source,high,Repository is the software's public source; no v8 archived revision.
C0051,Racetrackgen2,https://github.com/h3h3h0h0/Racetrackgen2,official_evidence,archive-official-source,high,Repository is the software's public source; no v8 archived revision.
C0052,Procedural modeling of cities,https://dl.acm.org/doi/10.1145/383259.383292,metadata-only,user-fetch-or-document-limitation,high,No local full text; ACM record used for bibliographic evidence.
C0054,Interactive procedural street modeling,https://dl.acm.org/doi/10.1145/1360612.1360702,metadata-only,user-fetch-or-document-limitation,high,No local full text; ACM record used for bibliographic evidence.
C0058,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,https://ieeexplore.ieee.org/document/10965488/,metadata-only,user-fetch-or-document-limitation,high,No local or independently verified public full text.
C0068,Search-Based Procedural Content Generation: A Taxonomy and Survey,https://ieeexplore.ieee.org/document/5756645/,metadata-only,user-fetch-or-document-limitation,high,No local or independently verified public full text.
C0069,Experience-Driven Procedural Content Generation,https://ieeexplore.ieee.org/document/5740836/,metadata-only,user-fetch-or-document-limitation,high,No local or independently verified public full text for this exact article.
C0070,Procedural Content Generation for Games: A Survey,https://dl.acm.org/doi/10.1145/2422956.2422957,metadata-only,user-fetch-or-document-limitation,high,No local or independently verified public full text for this exact survey.
C0071,Leveraging Procedural Generation to Benchmark Reinforcement Learning,https://proceedings.mlr.press/v119/cobbe20a.html,public-full-text,archive-public-full-text,high,Official proceedings page exposes downloadable PDF; no local archive copy.
C0073,Deep Drone Racing: Learning Agile Flight in Dynamic Environments,https://proceedings.mlr.press/v87/kaufmann18a.html,public-full-text,archive-public-full-text,high,Official proceedings page exposes downloadable PDF; no local archive copy.
C0098,OpenStreetMap,https://www.openstreetmap.org/about,official-web-evidence,archive-official-source,high,Current project information; no versioned local snapshot.
C0102,Testing Autonomous Robot Control Software Using Procedural Content Generation,https://link.springer.com/chapter/10.1007/978-3-642-40793-2_4,metadata-only,user-fetch-or-document-limitation,high,No local or independently verified public full text.
C0107,A Search-Based Framework for Automatic Generation of Testing Environments for Cyber-Physical Systems,https://doi.org/10.1016/j.infsof.2022.106936,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0109,Frenetic-lib: An extensible framework for search-based generation of road structures for ADS testing,https://doi.org/10.1016/j.scico.2023.102996,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0110,CRAG – a combinatorial testing-based generator of road geometries for ADS testing,https://doi.org/10.1016/j.scico.2024.103171,related_local_full_text,replace-mismatched-local,high,"Archive is a 2024 SBFT CRAG tool paper, not the cited Science of Computer Programming article."
C0114,Racing tracks improvisation,https://doi.org/10.1109/cig.2014.6932899,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0115,Personalised track design in car racing games,https://doi.org/10.1109/cig.2016.7860435,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0116,Controllable Procedural Generation of Race Track Surroundings for Iterative Level Design,https://doi.org/10.1109/cog64752.2025.11114175,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0118,Virtual Worlds for Testing Robot Navigation: A Study on the Difficulty Level,https://hal.science/hal-01328909v1,full_text_repository,archive-public-full-text,high,Repository version; no local archived copy.
C0119,Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,https://openaccess.thecvf.com/content/ICCV2021/html/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.html,full_text_official,archive-official-source,high,No local archived copy.
C0121,Environment as Policy: Learning to Race in Unseen Tracks,https://doi.org/10.1109/icra55743.2025.11127376,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0122,Automatically Generating Content for Testing Autonomous Vehicles from User Descriptions,https://doi.org/10.1109/icse-nier66352.2025.00021,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0125,EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing,https://doi.org/10.1109/issre59848.2023.00054,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0126,Lanelet2: A high-definition map framework for the future of automated driving,https://doi.org/10.1109/ITSC.2018.8569929,metadata_only,user-fetch-or-document-limitation,high,No local archive; official software documentation was not substituted for the paper.
C0127,Scenario Factory: Creating Safety-Critical Traffic Scenarios for Automated Vehicles,https://doi.org/10.1109/itsc45102.2020.9294629,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0130,MAVRL: Learn to Fly in Cluttered Environments With Varying Speed,https://doi.org/10.1109/lra.2024.3522778,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0132,"The World Robotic Sailing Championship, a Competition to Stimulate the Development of Autonomous Sailboats",https://doi.org/10.1109/oceans-genova.2015.7271767,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0133,Analysis of Road Representations in Search-Based Testing of Autonomous Driving Systems,https://doi.org/10.1109/qrs54544.2021.00028,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0135,Spirale at the SBFT 2023 Tool Competiton - Cyber-Physical Systems Track,https://doi.org/10.1109/SBFT59156.2023.00007,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0137,Preliminary Evaluation of Path-aware Crossover Operators for Search-Based Test Data Generation for Autonomous Driving,https://doi.org/10.1109/SBST52555.2021.00020,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0141,Interactive Evolution for the Procedural Generation of Tracks in a High-End Racing Game,https://doi.org/10.1145/2001576.2001631,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0143,Wasserstein generative adversarial networks for online test generation for cyber physical systems,https://doi.org/10.1145/3526072.3527522,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0146,Search-based Generation of Waypoints for Triggering Self-Adaptations in Maritime Autonomous Vessels,https://doi.org/10.1145/3712256.3726399,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0148,Complexity controllable road network generation for virtual testing of autonomous driving,https://www.sciopen.com/article/10.26599/COMMTR.2026.9640024,full_text_official,archive-official-source,high,No local archived copy.
C0150,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,https://www.mdpi.com/2076-3417/12/3/1651,full_text_official,archive-official-source,high,No local archived copy.
C0151,Procedural Generation of Road Paths for Driving Simulation,https://doi.org/10.4018/ijcicg.2015070103,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0152,Procedural Generation of High-Definition Road Networks for Autonomous Vehicle Testing and Traffic Simulations,https://doi.org/10.4271/12-06-01-0007,metadata_only,user-fetch-or-document-limitation,high,No local archive; publisher record only.
C0154,POET: Open-Ended Coevolution of Environments and their Optimized Solutions,https://arxiv.org/abs/1901.01753,full_text_repository,archive-public-full-text,high,Preprint version; no local archived copy.
C0156,FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing,https://arxiv.org/abs/2301.12738,full_text_public,archive-public-full-text,high,Preprint record; no local archive.
C0158,DriveSceneGen: Generating Diverse and Realistic Driving Scenarios from Scratch,https://arxiv.org/abs/2309.14685,full_text_public,archive-public-full-text,high,Public preprint version; no local archive.
C0161,Environment Curriculum Generation via Large Language Models,https://proceedings.mlr.press/v270/liang25a.html,full_text_public,archive-public-full-text,high,Proceedings source; no local archive.
C0162,DiffRoad: Realistic and Diverse Road Scenario Generation for Autonomous Vehicle Testing,https://arxiv.org/abs/2411.09451,full_text_public,archive-public-full-text,high,Preprint only; no local archive.
C0163,RoadGen: Generating Road Scenarios for Autonomous Vehicle Testing,https://arxiv.org/abs/2411.19577,full_text_public,archive-public-full-text,high,Preprint only; no local archive.
C0164,GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control,https://arxiv.org/abs/2504.09997,full_text_public,archive-public-full-text,high,Preprint only; no local archive.
C0165,"Mastering Diverse, Unknown, and Cluttered Tracks for Robust Vision-Based Drone Racing",https://arxiv.org/abs/2512.09571,full_text_public,archive-public-full-text,high,Author preprint accepted to RA-L; no local archive.
C0176,CommonRoad Scenario Designer: An Open-Source Toolbox for Map Conversion and Scenario Creation for Autonomous Vehicles,https://mediatum.ub.tum.de/doc/1624607/1624607.pdf,full_text_public,archive-public-full-text,high,University-hosted author copy; no local archive.
C0178,EUFS maps,https://gitlab.com/eufs/public/eufs_maps,full_text_official,archive-official-source,high,Mutable repository branch; no local archive or commit pin.
C0182,f1tenth/f1tenth_racetracks,https://github.com/f1tenth/f1tenth_racetracks,full_text_official,archive-official-source,high,Mutable repository branch; no local archive or commit pin.
C0188,isaaclab.terrains.terrain_generator,https://isaac-sim.github.io/IsaacLab/main/_modules/isaaclab/terrains/terrain_generator.html,full_text_official,archive-official-source,high,Mutable main-branch documentation; no local archive or release pin.
C0191,netgenerate,https://sumo.dlr.de/docs/netgenerate.html,full_text_official,archive-official-source,high,Unversioned live documentation; no local archive.
C0194,PyFlyt -- UAV Simulation Environments for Reinforcement Learning Research,https://arxiv.org/abs/2304.01305,full_text_public,archive-public-full-text,high,Preprint only; no local archive.
C0195,Race Track Database,https://github.com/TUMFTM/racetrack-database,full_text_official,archive-official-source,high,Mutable repository branch; no local archive or commit pin.
C0202,Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments,https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html,full_text_public,archive-public-full-text,high,Conference paper only; no local archive.
C0203,SDF worlds,https://gazebosim.org/docs/harmonic/sdf_worlds/,full_text_official,archive-official-source,high,Harmonic is an older supported release and live documentation is mutable; no local archive.
C0205,SLEDGE: Synthesizing Driving Environments with Generative Models and Rule-Based Traffic,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00490.pdf,full_text_public,archive-public-full-text,high,Official proceedings PDF; no local archive or code snapshot.
C0211,World Robotic Sailing Championship 2019 Notice of Race and Competition Rules,https://www.roboticsailing.org/2019/rules/,full_text_official,archive-official-source,high,Competition rules page; no local archive.
C0001,TORCS - The Open Racing Car Simulator,https://sourceforge.net/projects/torcs/,official_evidence,archive-official-source,medium,Official project/source endpoint; no v8 archived artifact.
C0002,Speed Dreams,https://forge.a-lec.org/speed-dreams/speed-dreams-code,official_evidence,archive-official-source,medium,Official code forge; no v8 archived artifact.
C0026,Autonomous Drone Racing with Deep Reinforcement Learning,https://doi.org/10.1109/IROS51168.2021.9636053,metadata_only,user-fetch-or-document-limitation,medium,No v8 primary report; IEEE/DOI record only.
C0027,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,https://arxiv.org/pdf/2411.04246,full_text,archive-public-full-text,medium,Public preprint endpoint; no v8 archived copy.
C0028,Isaac Gym,https://developer.nvidia.com/isaac-gym,official_evidence,archive-official-source,medium,Official NVIDIA product documentation; no v8 archived artifact.
C0029,Outracing champion Gran Turismo drivers with deep reinforcement learning,https://doi.org/10.1038/s41586-021-04357-7,metadata_only,user-fetch-or-document-limitation,medium,No v8 primary report; publisher/DOI record only.
C0032,A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo,https://rlj.cs.umass.edu/2024/papers/Paper213.html,full_text,archive-public-full-text,medium,Public Reinforcement Learning Journal paper page; no v8 archived copy.
C0033,A Champion-Level Vision-Based Reinforcement Learning Agent for Competitive Racing in Gran Turismo 7,https://doi.org/10.1109/lra.2025.3560873,metadata_only,user-fetch-or-document-limitation,medium,No v8 primary report; IEEE/DOI record only.
