search_id,search_date,stream,agent,query,search_surface,results_screened,candidates_added,notes
S0001,2026-06-29,bootstrap,main,docs/related-work/state-of-the-art.rst,local-corpus,95,65,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0002,2026-06-29,bootstrap,main,docs/related-work/prior-art.rst,local-corpus,188,33,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0003,2026-06-29,bootstrap,main,docs/generators/benchmarks.rst,local-corpus,6,0,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0004,2026-06-29,bootstrap,main,docs/tutorials/gate-sequences.rst,local-corpus,15,1,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0005,2026-06-29,bootstrap,main,docs/superpowers/specs/2026-06-23-gate-sequence-generation-design.md,local-corpus,15,0,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0006,2026-06-29,blind-ground,blind-ground,autonomous racing procedural track generation paper robot,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0007,2026-06-29,blind-ground,blind-ground,F1TENTH procedural track generator paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0008,2026-06-29,blind-ground,blind-ground,autonomous race track generation reinforcement learning random tracks paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0009,2026-06-29,blind-ground,blind-ground,autonomous racing simulator procedural tracks RaceCarGym paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0010,2026-06-29,blind-ground,blind-ground,OpenAI Gym CarRacing random track generation official repository paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0011,2026-06-29,blind-ground,blind-ground,procedural road maps driving reinforcement learning simulator random tracks benchmark,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0012,2026-06-29,blind-ground,blind-ground,site:f1tenth-gym.readthedocs.io random track generator OpenAI CarRacing,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0013,2026-06-29,blind-ground,blind-ground,site:github.com/f1tenth f1tenth_gym random track generator,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0014,2026-06-29,blind-ground,blind-ground,F1TENTH gym paper simulation environment official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0015,2026-06-29,blind-ground,blind-ground,"""random track generator"" F1TENTH",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0016,2026-06-29,blind-ground,blind-ground,Formula Student Driverless random track generator official repository FSSIM paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0017,2026-06-29,blind-ground,blind-ground,FSSIM open source autonomous racing simulator track generator paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0018,2026-06-29,blind-ground,blind-ground,FSDS simulator procedural track generation Formula Student official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0019,2026-06-29,blind-ground,blind-ground,Formula Student cone track procedural generation research paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0020,2026-06-29,blind-ground,blind-ground,"""procedural pipeline"" ""unique race"" tracks autonomous racing",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0021,2026-06-29,blind-ground,blind-ground,autonomous racing training procedurally generated race tracks sim-to-real paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0022,2026-06-29,blind-ground,blind-ground,robot race procedural track generator unseen tracks paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0023,2026-06-29,blind-ground,blind-ground,"""procedural race track generation for domain randomization"" Behrens PDF",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0024,2026-06-29,blind-ground,blind-ground,"""Technical Reports in Computing Science"" ""CS-01-2020""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0025,2026-06-29,blind-ground,blind-ground,site:dl.acm.org racing track procedural generation evolutionary TORCS,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0026,2026-06-29,blind-ground,blind-ground,site:ieeexplore.ieee.org racing track generation evolutionary computation game,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0027,2026-06-29,blind-ground,blind-ground,"""procedural generation"" racetracks racing games paper DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0028,2026-06-29,blind-ground,blind-ground,"""Making Racing Fun Through Player Modeling and Track Evolution""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0029,2026-06-29,blind-ground,blind-ground,race track generation entropy curvature speed profiles evolutionary paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0030,2026-06-29,blind-ground,blind-ground,"""Interactive evolution for the procedural generation of tracks"" ACM",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0031,2026-06-29,blind-ground,blind-ground,"""Making Racing Fun Through Player Modeling and Track Evolution"" Springer",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0032,2026-06-29,blind-ground,blind-ground,"""Search-based procedural content generation for race tracks"" official journal",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0033,2026-06-29,blind-ground,blind-ground,"""Automatic Track Generation for High-End Racing Games Using Evolutionary Computation"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0034,2026-06-29,blind-ground,blind-ground,"""Racing Tracks Improvisation"" IEEE official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0035,2026-06-29,blind-ground,blind-ground,"site:sbgames.org/proceedings2021 ""Procedural Generation of Isometric Racetracks Using Chain Code""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0036,2026-06-29,blind-ground,blind-ground,"""From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Racing-Game Geometry Transfer. Per-query screened-hit and candidate-add counts were not captured.
S0037,2026-06-29,blind-ground,blind-ground,autonomous vehicle testing road generation procedural paper AsFault,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0038,2026-06-29,blind-ground,blind-ground,site:dl.acm.org autonomous driving road generation testing DeepHyperion DeepJanus,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0039,2026-06-29,blind-ground,blind-ground,site:ieeexplore.ieee.org procedural road generation autonomous vehicle testing OpenDRIVE,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0040,2026-06-29,blind-ground,blind-ground,JunctionArt procedural generation high-definition road networks official paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0041,2026-06-29,blind-ground,blind-ground,RoadGen generating road scenarios autonomous vehicle testing official repository,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0042,2026-06-29,blind-ground,blind-ground,"""DeepHyperion"" autonomous driving road official paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0043,2026-06-29,blind-ground,blind-ground,"""DeepJanus"" autonomous driving roads paper official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0044,2026-06-29,blind-ground,blind-ground,"""Automatically testing self-driving cars"" AsFault official ACM",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0045,2026-06-29,blind-ground,blind-ground,search based road generation autonomous driving BeamNG test generation paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0046,2026-06-29,blind-ground,blind-ground,"""A search-based framework for automatic generation of testing environments"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0047,2026-06-29,blind-ground,blind-ground,"""Using genetic algorithms for automating automated lane-keeping system testing"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0048,2026-06-29,blind-ground,blind-ground,"""Frenetic-lib"" road structures ADS testing paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0049,2026-06-29,blind-ground,blind-ground,CRAG combinatorial testing based generator road geometries ADS testing paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0050,2026-06-29,blind-ground,blind-ground,"""Wasserstein generative adversarial networks for online test generation""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0051,2026-06-29,blind-ground,blind-ground,"""Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0052,2026-06-29,blind-ground,blind-ground,"""Procedural Generation of High-Definition Road Networks for Autonomous Vehicle Testing and Traffic Simulations""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0053,2026-06-29,blind-ground,blind-ground,"""DiffRoad: Realistic and Diverse Road Scenario Generation for Autonomous Vehicle Testing""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0054,2026-06-29,blind-ground,blind-ground,"""FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0055,2026-06-29,blind-ground,blind-ground,"""HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps"" official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0056,2026-06-29,blind-ground,blind-ground,"""DriveSceneGen: Generating Diverse and Realistic Driving Scenarios from Scratch"" official paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0057,2026-06-29,blind-ground,blind-ground,SLEDGE generative simulator road map generation autonomous driving official paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0058,2026-06-29,blind-ground,blind-ground,CVPR 2025 driving simulation environment generation vectorized map geometry Scenario Dreamer,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0059,2026-06-29,blind-ground,blind-ground,generative driving simulation environments static map geometry diffusion official paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0060,2026-06-29,blind-ground,blind-ground,HD map generation autonomous driving simulation novel road topology paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0061,2026-06-29,blind-ground,blind-ground,"""Automatically Generating Content for Testing Autonomous Vehicles from User Descriptions""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous-Vehicle Road and Map Generation. Per-query screened-hit and candidate-add counts were not captured.
S0062,2026-06-29,blind-ground,blind-ground,procedural obstacle course generation quadruped robot reinforcement learning paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0063,2026-06-29,blind-ground,blind-ground,legged robot parkour procedurally generated obstacle courses curriculum paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0064,2026-06-29,blind-ground,blind-ground,terrain generation curriculum agile quadruped locomotion official paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0065,2026-06-29,blind-ground,blind-ground,open ended environment generation BipedalWalker obstacle courses POET PAIRED,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0066,2026-06-29,blind-ground,blind-ground,"""Learning to Walk in Minutes"" terrain curriculum procedural terrain official",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0067,2026-06-29,blind-ground,blind-ground,"""Learning robust perceptive locomotion"" procedural terrains official paper",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0068,2026-06-29,blind-ground,blind-ground,"""Eurekaverse"" terrain generation quadruped official paper",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0069,2026-06-29,blind-ground,blind-ground,"""Robot Parkour Learning"" terrain generation obstacle curriculum",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0070,2026-06-29,blind-ground,blind-ground,site:proceedings.mlr.press POET open ended environments BipedalWalker,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0071,2026-06-29,blind-ground,blind-ground,site:proceedings.neurips.cc PAIRED environment generation BipedalWalker,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0072,2026-06-29,blind-ground,blind-ground,site:proceedings.mlr.press ACCEL environment design BipedalWalker,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0073,2026-06-29,blind-ground,blind-ground,"""Adversarially Compounding Complexity by Editing Levels"" paper",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0074,2026-06-29,blind-ground,blind-ground,"""Paired Open-Ended Trailblazer"" GECCO official DOI",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0075,2026-06-29,blind-ground,blind-ground,site:arxiv.org/abs/1901.01753 POET,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Legged, Parkour, and Open-Ended Terrain. Per-query screened-hit and candidate-add counts were not captured."
S0076,2026-06-29,blind-ground,blind-ground,"""RIGAA"" road topology generation autonomous vehicle",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 1: Named Testing-Tool Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0077,2026-06-29,blind-ground,blind-ground,"""RoadSign"" failure-revealing roads self-driving cars",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 1: Named Testing-Tool Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0078,2026-06-29,blind-ground,blind-ground,"""Spirale"" lane keeping road generation SBFT 2023",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 1: Named Testing-Tool Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0079,2026-06-29,blind-ground,blind-ground,"""GenRL"" road topology generation SBST 2022",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 1: Named Testing-Tool Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0080,2026-06-29,blind-ground,blind-ground,"""procedural tunnel geometry"" quadruped robot course generation",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 2: Ground-Course Representation Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0081,2026-06-29,blind-ground,blind-ground,"""cone course generator"" Formula Student Driverless simulation official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 2: Ground-Course Representation Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0082,2026-06-29,blind-ground,blind-ground,"""Frenet road generator"" autonomous driving testing 2024 2025",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 2: Ground-Course Representation Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0083,2026-06-29,blind-ground,blind-ground,"""LLM terrain curriculum"" quadruped obstacle course generation",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 2: Ground-Course Representation Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0084,2026-06-29,blind-ground,blind-ground,"""lane graph generation"" autonomous driving simulator novel road topology",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 3: Topology and Serialization Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0085,2026-06-29,blind-ground,blind-ground,"""racetrack generator"" robot racing benchmark procedural geometry",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 3: Topology and Serialization Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0086,2026-06-29,blind-ground,blind-ground,"""obstacle course distribution"" legged robot reinforcement learning generator",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 3: Topology and Serialization Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0087,2026-06-29,blind-ground,blind-ground,"""OpenDRIVE generator"" autonomous vehicle testing procedural geometry",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Formal Refinement and Saturation / Round 3: Topology and Serialization Refinement. Per-query screened-hit and candidate-add counts were not captured.
S0088,2026-06-29,blind-ground,blind-ground,RUN-SUMMARY:paper/data/agent_runs/blind-ground.md,documented-agent-run,NR,45,"Source: paper/data/agent_runs/blind-ground.md; 45 retained, 0 excluded; final saturation arithmetic: 1/45 = 2.22% and 0/45 = 0.00%. Total screened-hit count was not captured."
